Compensation of employees (% of expense),Adjusted savings: education expenditure (current US$),Population growth (annual %),Net migration,GDP growth (annual %),Lending interest rate (%),"Inflation, consumer prices (annual %)","Life expectancy at birth, total (years)",Households and NPISHs final consumption expenditure (% of GDP),"Foreign direct investment, net inflows (% of GDP)","School enrollment, tertiary (% gross)",Tax revenue (% of GDP),"Short-term debt (% of exports of goods, services and primary income)","Unemployment, total (% of total labor force) (national estimate)"
15.3952603895368,18742202006.0497,1.25151729140412,-77010.0,6.2238541798264,13.2516666666667,5.13420400767928,68.679,56.2171757974798,2.02517914569356,23.8078193664551,10.5374850612964,19.60445563542,5.614
14.9356245060296,24831638885.9927,1.25573808861315,-54051.0,6.16978420771008,12.4033333333333,5.3560477898215,68.823,55.4233565436278,2.30298429381592,25.4599494934082,11.1581278507445,17.7074492430764,5.153
14.7084841771917,27204824728.5807,1.25594145835811,-38499.0,6.03005065305615,11.795,4.27949999641975,68.973,56.3892464893614,2.30978031853074,29.5658397674561,11.3805899447921,20.7124395906341,4.468
15.1042433161638,27000110633.6782,1.21281780987831,-36670.0,5.5572636889101,11.6575,6.41251330156418,69.264,56.8294623582699,2.55135633401058,30.438570022583,11.2853014633987,22.2073306707281,4.336
14.336541491923,25869532175.6824,1.15950664180271,-37324.0,5.006668425755,12.605,6.39492540819922,69.533,57.1391165863442,2.81997260412102,30.5253391265869,10.8355237532905,22.870886857805,4.049
16.642368061058,27188913087.0444,1.1108549322781,-37991.0,4.87632230022123,12.6625,6.36312113115612,69.699,57.4500178972795,2.29761639380441,33.0326499938965,10.7534877772096,22.0655789505867,4.514
16.376549471515,29467341923.5804,1.05894205868913,-38653.0,5.03306918280177,11.8883333333333,3.5258051568793,69.798,57.8268008140962,0.487372471368879,35.4757499694824,10.3363487033276,23.6758632257188,4.301
15.9435296737576,32126211510.2825,1.00643952446092,-39282.0,5.06978590134916,11.0733333333333,3.80879806953157,69.936,57.2755729744201,2.01948919812582,36.633861541748,9.8772930803788,23.3906341759742,3.783
15.6109597910181,33033533547.9116,0.966206435866139,-39878.0,5.17429153955024,10.5366666666667,3.1983464156241,70.338,56.9798956320867,1.81428979349441,36.7954597473145,10.230143021132,21.6784366074913,4.387
16.2380126063918,35446533214.9267,0.937689273635294,-40567.0,5.01928768046282,10.3658333333333,3.03058664969487,70.518,57.9304645760915,2.23336204282241,37.925968170166,9.75196180827865,21.5928520215572,3.59
14.7716681966314,33660668458.62,0.840389268128048,-24999.0,-2.06551182934165,9.54416666666667,1.9209680056685,68.808,58.9338922831863,1.81058402027127,38.6503868103027,8.31010524192246,24.2254738952021,4.255
14.6170504028213,37713203479.9985,0.694717688319757,-14992.0,3.70305535690933,8.9225,1.56012990525673,67.57,55.6288379393704,1.78786201338535,41.0022087097168,9.09404244081396,18.6683750494723,3.827
,,0.636555115146439,-49997.0,5.30859500543608,8.52,4.20946383402165,,53.0379701593066,1.62446629075669,42.633171081543,,15.6008992299884,3.462
